Total_Score,Predicted_Probability
-17,0.051613648524330286
-16,0.05342077778424812
-15,0.0552874908329632
-14,0.05721549074113495
-13,0.0592065107334727
-12,0.06126231333390729
-11,0.06338468938032403
-10,0.06557545690114487
-9,0.0678364598459177
-8,0.07016956666197165
-7,0.07257666870913368
-6,0.07505967850447828
-5,0.07762052778910346
-4,0.08026116540899883
-3,0.08298355500219957
-2,0.08578967248460943
-1,0.08868150332713413
0,0.09166103961709662
1,0.09473027689731649
2,0.09789121077673256
3,0.10114583330703526
4,0.10449612912046125
5,0.1079440713246922
6,0.11149161715169782
7,0.11514070335837308
8,0.1188932413779516
9,0.1227511122224259
10,0.1267161611375816
11,0.13079019201375452
12,0.13497496155704733
13,0.13927217322749716
14,0.14368347095256448
15,0.14821043262631164
16,0.1528545634067534
17,0.15761728882608153
18,0.16249994773078355
19,0.1675037850710778
20,0.17262994456156125
21,0.17787946123749404
22,0.18325325393370742
23,0.18875211771569592
24,0.19437671629502015
25,0.20012757446366916
26,0.20600507058449094
27,0.21200942917715404
28,0.21814071364133159
29,0.2243988191608519
30,0.23078346583441364
31,0.23729419208007282
32,0.24393034836203734
33,0.25069109128931844
34,0.2575753781364442
35,0.26458196183670735
36,0.27170938649826354
37,0.27895598349278483
38,0.28631986816527966
39,0.29379893721209627
40,0.30139086677200677
41,0.30909311127261974
42,0.3169029030711804
43,0.3248172529250917
44,0.33283295132323976
45,0.34094657070444784
46,0.34915446858414
47,0.35745279160460847
48,0.3658374805181817
49,0.37430427610614503
50,0.38284872602952214
51,0.39146619260085597
52,0.40015186145900195
53,0.4089007511217425
54,0.41770772338383866
55,0.42656749452102255
56,0.43547464725351837
57,0.44442364341601237
58,0.45340883727469733
59,0.4624244894261484
60,0.47146478120744617
61,0.4805238295422093
62,0.4895957021431115
63,0.4986744329880815
64,0.5077540379847851
65,0.5168285307361812
66,0.5258919383189811
67,0.5349383169867133
68,0.5439617677098195
69,0.5529564514667668
70,0.5619166042025366
71,0.5708365513740028
72,0.5797107220055929
73,0.588533662183202
74,0.5973000479194951
75,0.6060046973294627
76,0.6146425820612721
77,0.6232088379340223
78,0.6316987747408654
79,0.6401078851830219
80,0.6484318529073902
81,0.65666655962767
82,0.6648080913160641
83,0.6728527434596584
84,0.6807970253823856
85,0.6886376636400252
86,0.6963716045018918
87,0.7039960155386779
88,0.7115082863412925
89,0.7189060284004402
90,0.7261870741810881
91,0.7333494754298483
92,0.7403915007566436
93,0.7473116325348419
94,0.7541085631663064
95,0.7607811907595645
96,0.7673286142705285
97,0.7737501281559557
98,0.7800452165901207
99,0.7862135472950214
100,0.7922549650339022
101,0.7981694848169582
102,0.8039572848668443
103,0.8096186993900889
104,0.8151542111987156
105,0.8205644442243845
106,0.8258501559651824
107,0.8310122299028689
108,0.8360516679259536
109,0.840969582791473
110,0.8457671906557808
111,0.8504458037020849
112,0.8550068228899074
113,0.8594517308490919
114,0.8637820849384965
115,0.8679995104870905
116,0.8721056942328166
117,0.8761023779723452
118,0.8799913524326918
119,0.8837744513736363
120,0.8874535459279786
121,0.8910305391848592
122,0.8945073610197203
123,0.8978859631729381
124,0.9011683145777467
125,0.9043563969367868
126,0.9074522005454483
127,0.910457720359128
128,0.9133749523005972
129,0.9162058898028497
130,0.9189525205820874
131,0.9216168236348843
132,0.924200766453046
133,0.9267063024492509
134,0.9291353685861966
135,0.9314898832017119
136,0.9337717440220669
137,0.9359828263555866
138,0.938124981458572
139,0.9402000350655035
140,0.9422097860755104
141,0.9441560053871446
142,0.9460404348735795
143,0.9478647864904876
144,0.9496307415089874
145,0.9513399498662337
146,0.952994029626411
147,0.9545945665451074
148,0.9561431137302642
149,0.9576411913931379
150,0.9590902866829472
151,0.9604918535991352
152,0.9618473129754246
153,0.9631580525300993
154,0.9644254269772066
155,0.9656507581936208
156,0.966835335437165
157,0.9679804156112396
158,0.9690872235716407
159,0.9701569524714978
160,0.9711907641404912
161,0.9721897894947281
162,0.9731551289738882
163,0.9740878530024439
164,0.9749890024719804
165,0.9758595892418229
166,0.976700596655374
167,0.9775129800697381
168,0.9782976673963876
169,0.9790555596507795
170,0.9797875315089962
171,0.9804944318696237
172,0.9811770844192255
173,0.9818362881999007
174,0.9824728181775382
175,0.9830874258095021
176,0.9836808396105855
177,0.9842537657161856
178,0.984806888441741
179,0.9853408708375724
180,0.9858563552383438
181,0.9863539638064565
182,0.9868342990687468
183,0.9872979444459439
184,0.9877454647743953
185,0.988177406819642
186,0.9885942997814702
187,0.988996655790123
188,0.9893849703934092
189,0.9897597230344785
190,0.990121377520086
191,0.9904703824792003
192,0.9908071718118424
193,0.9911321651280826
194,0.9914457681771419
195,0.9917483732665774
196,0.9920403596715558
197,0.9923220940342337
198,0.992593930753295
199,0.9928562123637024
200,0.9931092699067424
201,0.993353423290458
202,0.9935889816405723
203,0.9938162436420208
204,0.9940354978712205
205,0.9942470231192096
206,0.994451088705805
